rvnm,stcd,stnm,tm,wptn,z
陆水,61705000,陆水水库(坝上),1741071900000,6,48.330
陆水,61705000,陆水水库(坝上),1741072800000,4,48.330
陆水,61705000,陆水水库(坝上),1741073400000,5,48.340
陆水,61705000,陆水水库(坝上),1741074000000,4,48.330
陆水,61705000,陆水水库(坝上),1741074600000,6,48.340
陆水,61705000,陆水水库(坝上),1741075800000,6,48.340
陆水,61705000,陆水水库(坝上),1741077000000,6,48.340
陆水,61705000,陆水水库(坝上),1741077600000,6,48.340
陆水,61705000,陆水水库(坝上),1741078200000,6,48.350
陆水,61705000,陆水水库(坝上),1741079700000,6,48.350
陆水,61705000,陆水水库(坝上),1741080600000,6,48.350
陆水,61705000,陆水水库(坝上),1741081200000,6,48.350
陆水,61705000,陆水水库(坝上),1741081800000,6,48.350
陆水,61705000,陆水水库(坝上),1741083000000,4,48.350
陆水,61705000,陆水水库(坝上),1741084200000,6,48.360
陆水,61705000,陆水水库(坝上),1741084800000,6,48.360
陆水,61705000,陆水水库(坝上),1741085400000,6,48.360
陆水,61705000,陆水水库(坝上),1741086300000,6,48.360
陆水,61705000,陆水水库(坝上),1741087200000,5,48.370
陆水,61705000,陆水水库(坝上),1741087500000,4,48.360
陆水,61705000,陆水水库(坝上),1741088100000,5,48.370
陆水,61705000,陆水水库(坝上),1741088700000,6,48.360
陆水,61705000,陆水水库(坝上),1741091100000,6,48.370
陆水,61705000,陆水水库(坝上),1741092900000,6,48.370
陆水,61705000,陆水水库(坝上),1741094700000,6,48.370
陆水,61705000,陆水水库(坝上),1741095300000,6,48.370
陆水,61705000,陆水水库(坝上),1741095900000,5,48.380
陆水,61705000,陆水水库(坝上),1741097100000,6,48.380
陆水,61705000,陆水水库(坝上),1741098300000,6,48.380
陆水,61705000,陆水水库(坝上),1741098900000,6,48.380
陆水,61705000,陆水水库(坝上),1741099500000,6,48.380
陆水,61705000,陆水水库(坝上),1741101000000,6,48.380
陆水,61705000,陆水水库(坝上),1741101900000,6,48.380
陆水,61705000,陆水水库(坝上),1741102500000,6,48.380
陆水,61705000,陆水水库(坝上),1741103100000,6,48.380
陆水,61705000,陆水水库(坝上),1741104600000,6,48.390
陆水,61705000,陆水水库(坝上),1741106100000,6,48.390
陆水,61705000,陆水水库(坝上),1741106700000,6,48.390
陆水,61705000,陆水水库(坝上),1741107900000,6,48.390
陆水,61705000,陆水水库(坝上),1741109100000,6,48.390
陆水,61705000,陆水水库(坝上),1741109700000,4,48.390
陆水,61705000,陆水水库(坝上),1741110300000,5,48.400
陆水,61705000,陆水水库(坝上),1741111800000,6,48.400
陆水,61705000,陆水水库(坝上),1741113300000,6,48.400
陆水,61705000,陆水水库(坝上),1741113900000,6,48.400
陆水,61705000,陆水水库(坝上),1741115100000,6,48.400
陆水,61705000,陆水水库(坝上),1741115700000,6,48.400
陆水,61705000,陆水水库(坝上),1741116300000,6,48.400
